,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,mois,month
8,frère,brother
9,car,because
10,mettre,to put
11,laisse,leash
12,eux,them
13,chaque,each
14,parlé,speak
15,devrait,should
16,bébé,baby
17,longtemps,long time
18,heures,hours
19,vont,will
20,pendant,while
21,aucune,any
22,place,square
23,parle,speak
24,savais,knew
25,étaient,were
26,attention,Warning
27,pourrais,could
28,type,type
29,leurs,their
30,donné,given
31,train,train
32,corps,body
33,endroit,place
34,façon,way
35,écoute,listen
36,dont,whose
37,trouve,find
38,premier,first
39,perdu,lost
40,première,first
41,pouvoir,power
42,vieux,old
43,tiens,here
44,matin,morning
45,tellement,so much
46,enfant,child
47,point,point
48,venu,came
49,pardon,sorry
50,venez,come
51,devant,in front of
52,vers,towards
53,minutes,minutes
54,demandé,request
55,chambre,bedroom
56,mis,placed
57,belle,beautiful
58,droit,law
59,aimerais,would like to
60,mari,husband
61,cause,cause
62,enfin,finally
63,attendez,Wait
64,nouvelle,new
65,boulot,job
66,arrêter,Stop
67,dirait,would say
68,terre,Earth
69,donne,given
70,loin,far
71,croire,believe
72,chérie,sweetheart
73,gros,large
74,plutôt,rather
75,aura,will have
76,filles,girls
